      0/99     2.77G    0.1104   0.02243   0.06099    0.1938        16       448  0.002118    0.0982  0.001071 0.0001785    0.1032    0.0172   0.05976
      1/99     2.75G   0.09113   0.02396   0.05812    0.1732        28       448   0.04777    0.1039   0.02882  0.008912   0.08726   0.01821   0.05625
      2/99     2.75G   0.07585   0.02665   0.05379    0.1563        20       448    0.3983    0.2449    0.1522   0.05923   0.07666   0.01814   0.05199
      3/99     2.75G   0.06783    0.0268   0.04871    0.1434        15       448    0.6891    0.1862    0.1383   0.03033   0.06564   0.01883    0.0491
      4/99     2.75G   0.06176   0.02561   0.04482    0.1322        11       448    0.7302     0.231    0.1978   0.08329   0.05484   0.01767   0.04669
      5/99     2.75G   0.05738   0.02459   0.04082    0.1228        24       448    0.6827    0.2196    0.1978   0.07322   0.05325   0.01646   0.04162
      6/99     2.75G   0.05665    0.0227   0.03708    0.1164        17       448    0.7107    0.2164    0.2247   0.08086   0.05054   0.01567   0.03735
      7/99     2.75G   0.05574   0.02175   0.03469    0.1122        20       448    0.7315    0.2527    0.3022    0.1477   0.04931   0.01427    0.0349
      8/99     2.75G   0.05738   0.01971   0.03127    0.1084        19       448    0.3179    0.4176    0.3363     0.132   0.05308   0.01312   0.03165
      9/99     2.75G   0.05472   0.02013   0.02821    0.1031        38       448    0.3209    0.5773     0.411    0.1992    0.0453   0.01235   0.02921
     10/99     2.75G   0.05713   0.01741   0.02656    0.1011        13       448    0.3413    0.6517    0.4544    0.1985    0.0506   0.01211   0.02575
     11/99     2.75G   0.05694   0.01722   0.02499   0.09915        17       448    0.5396    0.5177    0.4538    0.1541   0.05052   0.01092   0.02341
     12/99     2.75G    0.0577   0.01644   0.02265    0.0968        11       448     0.636    0.4689    0.5555     0.231   0.04786   0.01061   0.02102
     13/99     2.75G     0.058    0.0158   0.02101    0.0948        31       448    0.4541    0.5059    0.4667     0.192   0.05616   0.01002   0.01934
     14/99     2.75G   0.05503   0.01537   0.01873   0.08912        17       448    0.5208    0.4802    0.5253    0.2271   0.05014   0.00951   0.01648
     15/99     2.75G   0.05696    0.0148   0.01687   0.08863        26       448    0.5647    0.5937    0.5781    0.2151   0.05347  0.009152   0.01517
     16/99     2.75G   0.06514   0.01427   0.01666   0.09607        19       448    0.4447    0.5315    0.4412    0.1564   0.06444  0.008727   0.01603
     17/99     2.75G   0.06286   0.01608   0.02011   0.09904         9       448    0.5333    0.6083    0.4765    0.1656   0.06436  0.009106   0.01521
